,fundId,fundCode,fundName,fundDescription,currency,fundLogoPath,fundLogoPath2,fundManager,bloombergTicker,fundCategoryId,fundCategory,riskClassificationId,riskClassification,currentNAVPU,navpuDate,isPERA,return1yr,return1yrPercent,return3yr,return3yrPercent,riskRatingId,riskRating,returnRatingId,returnRating
43,1,DB4,Manulife Asia Dynamic Bond Feeder Fund,"The Fund is a bond UITF structured as a feeder fund that aims to maximize total return by investing all or substantially all of its assets in a bond collective investment scheme (CIS), the Target Fund, that invests in a diversified portfolio of fixedincome securities, issued by governments, agencies, supra-nationals and corporate issuers located primarily in Asia and other allowable investments. The Target Fund is the Manulife Global Fund – Asia Total Return Fund.",PHP,https://public-assets.dragonfi.ph/Securities/MFC/MFC,https://public-assets.dragonfi.ph/Funds/Manulife/mim.png,Manulife,MTPHDB4,3,Bond Fund,3,Aggressive,61.1958,2026-08-13T00:00:00,False,0.0671,6.7066,0.03,3.0047,1.0,Below,1.0,Below
57,2,IB1,Manulife Income Builder Fund,The Fund is a bond fund that seeks to achieve stable and long-term growth by investing in government securities and/or high quality corporate debt securities and other liquid fixed income instruments. The Fund’s benchmark is the Bloomberg Philippine Sovereign Bond 1-5 Year Index.,PHP,https://public-assets.dragonfi.ph/Securities/MFC/MFC,https://public-assets.dragonfi.ph/Funds/Manulife/mim.png,Manulife,MTPHIB1,3,Bond Fund,2,Moderate,1.2368,2026-08-13T00:00:00,False,0.0205,2.0462,0.039,3.9028,,,,
60,3,SI1,Manulife Stable Income Fund,The Fund is a bond fund that seeks to preserve capital and generate income by investing in fixed income securities with maximum remaining term to maturity of up to five (5) years. The Fund's benchmark is 50% Bloomberg Philippine Sovereign Bond Index 1 to 3 Year Index + 50% 91-day T-Bill Rate.,PHP,https://public-assets.dragonfi.ph/Securities/MFC/MFC,https://public-assets.dragonfi.ph/Funds/Manulife/mim.png,Manulife,MTPHSI1,3,Bond Fund,2,Moderate,1.2738,2026-08-13T00:00:00,False,0.0326,3.2588,0.0419,4.1875,,,,
47,4,EW1,Manulife Equity Wealth Fund,"The Fund is an equity fund that seeks to achieve long-term capital appreciation by investing in stocks listed on the Philippine Stock Exchange, fixed income securities and other liquid fixed income instruments. The Fund’s benchmark is the Philippine Stock Exchange index (PSEi).",PHP,https://public-assets.dragonfi.ph/Securities/MFC/MFC,https://public-assets.dragonfi.ph/Funds/Manulife/mim.png,Manulife,MTPHEW1,2,Equity Fund,3,Aggressive,0.8458,2026-08-13T00:00:00,False,0.0152,1.5244,0.0236,2.3616,,,,
42,5,BS4,Manulife Asia Best Select Equity Fund,"The Fund seeks to achieve capital growth by investing primarily in a diversified portfolio of securities of companies listed on stock markets in and/or incorporated in and/or with significant business interests in Asia including Australia, Hong Kong, Indonesia, Malaysia, New Zealand, the PRC, Philippines, Singapore, South Korea, Taiwan, Thailand, Vietnam and Pakistan, but not in Japan.",PHP,https://public-assets.dragonfi.ph/Securities/MFC/MFC,https://public-assets.dragonfi.ph/Funds/Manulife/mim.png,Manulife,MTPHBS4,2,Equity Fund,3,Aggressive,111.908,2026-08-13T00:00:00,False,0.5855,58.5494,0.2444,24.439,,,,
44,6,PR4,Manulife Asia Pacific REIT Fund of Funds,The Fund is a unit-paying equity fund of funds that seeks to achieve long-term capital appreciation and generate income by investing primarily in a diversified portfolio of exchange-listed real estate investment trusts (REITs) in the Asia Pacific region and other allowable investments.,PHP,https://public-assets.dragonfi.ph/Securities/MFC/MFC,https://public-assets.dragonfi.ph/Funds/Manulife/mim.png,Manulife,MTPHPR4,2,Equity Fund,3,Aggressive,50.2583,2026-08-13T00:00:00,False,0.0353,3.5259,0.0157,1.5676,,,,
46,7,DG4,Manulife Dragon Growth Equity Feeder Fund,"The Fund is an equity UITF structured as a feeder fund that aims to maximize total return by investing all or substantially all of its assets in an equity collective investment scheme (CIS), the Target Fund, that aims to achieve capital growth by investing at least 70% of its net assets in a diversified portfolio of equity related securities of public companies which are listed in Hong Kong and/or, although not listed in Hong Kong, are listed on a stock exchange in any other jurisdiction and have substantial business interests in Hong Kong and/or China. The Target Fund is the Manulife Global Fund – Dragon Growth Fund.",PHP,https://public-assets.dragonfi.ph/Securities/MFC/MFC,https://public-assets.dragonfi.ph/Funds/Manulife/mim.png,Manulife,MTPHDG4,2,Equity Fund,3,Aggressive,68.2748,2026-08-13T00:00:00,False,0.085,8.5015,0.1036,10.3605,,,,
52,8,GP4,Manulife Global Preferred Income Feeder Fund,"The Fund is a unit-paying balanced UITF structured as a feeder fund that aims to maximize total return by investing all or substantially all of its assets in a collective investment scheme (CIS), the Target Fund, that aims to provide income generation with potential long term capital appreciation by investing at least 70% of its net assets in preferred securities listed or traded on any regulated market in the world, which include preferred stocks (including convertible preferred stocks) and subordinated debt securities. The Target Fund is the Manulife Global Fund – Preferred Securities Income Fund.",PHP,https://public-assets.dragonfi.ph/Securities/MFC/MFC,https://public-assets.dragonfi.ph/Funds/Manulife/mim.png,Manulife,MTPHGP4,4,Multi-Asset,3,Aggressive,53.5586,2026-08-13T00:00:00,False,0.039,3.9023,0.0282,2.8203,,,,
40,9,AG4,Manulife American Growth Equity Feeder Fund,"The Fund is an equity UITF structured as a feeder fund that aims to maximize total return by investing all or substantially all of its assets in a collective investment scheme (CIS), the Target Fund, which aims to achieve capital growth by investing at least 70% of its net assets in a portfolio of equity and equity related securities of North American companies, with the main emphasis on the U.S.. Such equity and equity related securities include common stocks, preferred stocks and depositary receipts. The Target Fund is the Manulife Global Fund – U.S. Equity Fund.",PHP,https://public-assets.dragonfi.ph/Securities/MFC/MFC,https://public-assets.dragonfi.ph/Funds/Manulife/mim.png,Manulife,MTPHAG4,2,Equity Fund,3,Aggressive,138.1812,2026-08-13T00:00:00,False,0.2132,21.3246,0.1735,17.3533,,,,
51,10,GM4,Manulife Global Multi-Asset Diversified Income Feeder Fund,"The Fund is a unit-paying balanced UITF structured as a feeder fund that aims to maximize total return by investing all or substantially all of its assets in a collective investment scheme (CIS), the Target Fund. The Target Fund aims to achieve income generation by investing in a diversified portfolio of equity, equity-related securities, fixed income, and fixed income-related securities of companies and/or governments globally (including emerging markets). To meet its objective the Target Fund will invest at least 70% of its net assets in equity and equity-related securities (which are listed on any Regulated Market), fixed income and fixed income-related securities of companies and/or governments located across the globe. The remaining assets of the Target Fund may be invested in cash and/or cash equivalents. The Target Fund is the Manulife Global Fund – Global Multi-Asset Diversified Income Fund.",PHP,https://public-assets.dragonfi.ph/Securities/MFC/MFC,https://public-assets.dragonfi.ph/Funds/Manulife/mim.png,Manulife,MTPHGM4,4,Multi-Asset,3,Aggressive,62.1773,2026-08-13T00:00:00,False,0.1176,11.7561,0.0665,6.6505,,,,
