"Fund Name","NAV","YTD Profit","6M Profit","1Y Profit","3Y Profit","5Y Profit","Classification","Risk Type","Min. Invest Amount"
"Manulife Global Semiconductor Opportunities Equity Feeder Fund Class A   MTPHSO4 https://storage.investa.ph/files/Fund/71/DP/71_1765787184.png","119.9652","84.78%","66.84%","0.00%","0.00%","0.00%","UITF","Aggressive","Php 1,000.00"
"Manulife Global Technology Equity Feeder Fund PHP   MTPHGT4 https://storage.investa.ph/files/Fund/66/DP/66_1740484065.png","109.6636","28.27%","30.40%","39.67%","123.41%","0.00%","UITF","Aggressive","Php 1,000.00"
"ATRAM Asia Equity Opportunity Feeder Fund   ATRASEQ https://storage.investa.ph/files/Fund/44/DP/44_1686041603.png","193.430142","20.34%","11.74%","37.95%","67.21%","55.25%","UITF","Aggressive","Php 1,000.00"
"ATRAM Global Technology Feeder Fund   ATRGTEC https://storage.investa.ph/files/Fund/45/DP/45_1686041608.png","504.439086","18.84%","16.47%","35.17%","100.04%","123.66%","UITF","Aggressive","Php 1,000.00"
"ATRAM Global Artificial Intelligence Feeder Fund - A Class   ATRGAIA https://storage.investa.ph/files/Fund/70/DP/70_1763567487.png","140.990928","18.58%","21.02%","30.55%","0.00%","0.00%","UITF","Aggressive","Php 1,000.00"
"ATRAM Asian Multi-Asset Income Feeder Fund - PHP   ATRAMIP https://storage.investa.ph/files/Fund/54/DP/54_1686041655.png","123.609831","16.42%","10.98%","25.95%","34.24%","0.00%","UITF","Aggressive","Php 1,000.00"
"Sun Life Prosperity World Equity Index Feeder Fund   SLPWEIF https://storage.investa.ph/files/Fund/26/DP/26_1636390826.png","2.5209","16.32%","13.31%","30.55%","79.05%","88.66%","Mutual Fund","Aggressive","Php 10,000.00"
"ATRAM Global Infra Equity Feeder Fund   ATRGIEP https://storage.investa.ph/files/Fund/53/DP/53_1686041651.png","139.047731","15.42%","7.38%","18.02%","48.60%","0.00%","UITF","Aggressive","Php 1,000.00"
"BPI US Equity Index Feeder Fund - PHP   BPUSFFP https://storage.investa.ph/files/Fund/69/DP/69_1754378498.png","295.96","15.03%","15.29%","27.82%","83.59%","108.17%","UITF","Aggressive","Php 1,000.00"
"ATRAM Global Dividend Feeder Fund - PHP   ATRGLDV https://storage.investa.ph/files/Fund/43/DP/43_1686041597.png","244.452554","12.17%","6.84%","18.30%","55.57%","58.89%","UITF","Aggressive","Php 1,000.00"
"PhilEquity MSCI Philippines Index Fund, Inc.   PHILPMP https://storage.investa.ph/files/Fund/23/DP/23_1636110067.png","0.994","11.97%","4.29%","9.16%","14.97%","16.97%","Mutual Fund","Aggressive","Php 1,000.00"
"ATRAM Global Equity Opportunity Feeder Fund - PHP   ATRGEQP https://storage.investa.ph/files/Fund/39/DP/39_1686041568.png","140.982444","11.80%","6.16%","20.30%","32.34%","31.19%","UITF","Aggressive","Php 1,000.00"
"ATRAM Global Financials Feeder Fund - PHP   ATRGFNP https://storage.investa.ph/files/Fund/46/DP/46_1686041614.png","341.088648","11.18%","10.15%","29.15%","127.73%","129.18%","UITF","Aggressive","Php 1,000.00"
"ATRAM Global Allocation Feeder Fund - PHP   ATRGAAP https://storage.investa.ph/files/Fund/40/DP/40_1686041573.png","136.589327","10.53%","7.35%","20.62%","45.25%","0.00%","UITF","Aggressive","Php 1,000.00"
"Manulife Global REIT Feeder Fund PHP   MTPHGR4 https://storage.investa.ph/files/Fund/64/DP/64_1740483836.png","50.5126","9.31%","6.64%","12.46%","14.84%","0.14%","UITF","Aggressive","Php 1,000.00"
"ATRAM Global Multi-Asset Income Feeder Fund - PHP   ATRGMIP https://storage.investa.ph/files/Fund/47/DP/47_1686041619.png","112.071098","8.01%","5.53%","12.87%","18.02%","8.19%","UITF","Aggressive","Php 1,000.00"
"PhilEquity Fund, Inc.   PHILEQT https://storage.investa.ph/files/Fund/22/DP/22_1636110055.png","36.8668","7.07%","0.79%","3.48%","9.45%","11.57%","Mutual Fund","Aggressive","Php 1,000.00"
"Sun Life Prosperity World Income Fund   SLPWICF https://storage.investa.ph/files/Fund/56/DP/56_1695265416.png","1.1802","6.29%","5.09%","11.42%","18.02%","0.00%","Mutual Fund","Aggressive","Php 10,000.00"
"Philippine Stock Index Fund (Unitized)   PSIFUMF https://storage.investa.ph/files/Fund/27/DP/27_1660029169.png","938.02","5.81%","-0.90%","1.60%","3.41%","0.00%","Mutual Fund","Aggressive","Php 50.00"
"Sun Life Prosperity Philippine Stock Index Fund   SLFPSIF https://storage.investa.ph/files/Fund/12/DP/12_1656150615.png","0.8716","5.76%","-0.95%","1.40%","2.78%","2.13%","Mutual Fund","Aggressive","Php 1,000.00"
"PhilEquity Pse Index Fund, Inc.   PHILPSE https://storage.investa.ph/files/Fund/25/DP/25_1636110098.png","4.7252","5.73%","-0.91%","2.03%","5.26%","5.78%","Mutual Fund","Aggressive","Php 1,000.00"
"Manulife Global Multi-Asset Diversified Income Feeder Fund PHP   MTPHGM4 https://storage.investa.ph/files/Fund/63/DP/63_1740483706.png","61.6277","5.29%","4.71%","10.46%","20.24%","15.41%","UITF","Aggressive","Php 1,000.00"
"ATRAM Nasdaq Equity Income Feeder Fund - A Class   ATRQIAP https://storage.investa.ph/files/Fund/72/DP/72_1781788981.png","105.092063","5.09%","7.18%","0.00%","0.00%","0.00%","UITF","Aggressive","Php 1,000.00"
"ATRAM Unicapital Diversified Growth Fund, Inc.   OPTIMA https://storage.investa.ph/files/Fund/34/DP/34_1662368559.png","1.7134","4.59%","2.16%","7.22%","16.62%","3.23%","Mutual Fund","Moderate","Php 1,000.00"
"PhilEquity Dividend Yield Fund, Inc.   PHILDYF https://storage.investa.ph/files/Fund/21/DP/21_1636110042.png","1.6236","3.98%","-0.42%","7.74%","38.51%","43.97%","Mutual Fund","Aggressive","Php 1,000.00"
"ATRAM Philippine Equity Smart Index Fund   ATRPHSE https://storage.investa.ph/files/Fund/42/DP/42_1686041585.png","98.780907","3.93%","-2.79%","-0.56%","1.18%","0.96%","UITF","Aggressive","Php 1,000.00"
"ATRAM Alpha Opportunity Fund, Inc.   ALPHAOP https://storage.investa.ph/files/Fund/31/DP/31_1662368524.png","2.2382","3.53%","0.09%","6.26%","53.39%","56.31%","Mutual Fund","Aggressive","Php 1,000.00"
"Manulife Dragon Growth Equity Feeder Fund PHP   MTPHDG4 https://storage.investa.ph/files/Fund/59/DP/59_1740483187.png","68.9184","3.07%","-4.87%","11.29%","35.68%","-13.46%","UITF","Aggressive","Php 1,000.00"
"ATRAM Philippine Balanced Fund, Inc.   ATRPBAL https://storage.investa.ph/files/Fund/33/DP/33_1662368552.png","2.2056","3.04%","0.10%","2.60%","2.77%","1.79%","Mutual Fund","Moderate","Php 1,000.00"
"ATRAM US Multi-Asset Income Feeder Fund - PHP   ATRUMIP https://storage.investa.ph/files/Fund/48/DP/48_1686041624.png","138.897559","3.00%","1.72%","8.24%","22.42%","15.56%","UITF","Aggressive","Php 1,000.00"
"ALFM Money Market Fund (Unitized)   ALFMMFU https://storage.investa.ph/files/Fund/30/DP/30_1660029191.png","116.73","2.47%","2.03%","4.20%","13.51%","0.00%","Mutual Fund","Conservative","Php 500.00"
"ALFM Global Multi-Asset Income Fund - Peso   ALFMGMP https://storage.investa.ph/files/Fund/28/DP/28_1660029179.png","47.449","2.36%","1.78%","6.60%","9.94%","-2.47%","Mutual Fund","Aggressive","Php 1,000.00"
"Sun Life Prosperity Peso Starter Fund   SNLFMNY https://storage.investa.ph/files/Fund/19/DP/19_1656150628.png","1.5126","2.11%","1.63%","3.70%","11.11%","15.69%","Mutual Fund","Conservative","Php 100.00"
"Manulife Money Market Fund Class A   MTPHMM1 https://storage.investa.ph/files/Fund/57/DP/57_1740137150.png","1.1856","2.00%","1.57%","3.60%","13.63%","0.00%","UITF","Conservative","Php 1,000.00"
"ATRAM Peso Money Market Fund   ATRPHMM https://storage.investa.ph/files/Fund/38/DP/38_1686041561.png","128.704723","1.89%","1.46%","3.26%","12.19%","16.53%","UITF","Conservative","Php 1,000.00"
"ATRAM Medium Term Peso Bond Fund   ATRPHFI https://storage.investa.ph/files/Fund/41/DP/41_1686041580.png","146.840764","1.47%","0.71%","3.83%","12.61%","13.50%","UITF","Moderate","Php 1,000.00"
"ALFM Growth Fund   ALFMGRW https://storage.investa.ph/files/Fund/3/DP/3_1660029149.png","216.94","1.32%","-4.71%","-2.25%","4.05%","1.57%","Mutual Fund","Aggressive","Php 1,000.00"
"ATRAM Corporate Bond Fund, Inc.   PRULFIX https://storage.investa.ph/files/Fund/35/DP/35_1662368564.png","1.9836","1.29%","1.00%","2.27%","3.66%","2.95%","Mutual Fund","Moderate","Php 1,000.00"
"ATRAM Philippine Equity Opportunity Fund, Inc.   ATRKEEO https://storage.investa.ph/files/Fund/32/DP/32_1662368546.png","2.8822","1.08%","-3.41%","-3.48%","-0.82%","-2.34%","Mutual Fund","Aggressive","Php 1,000.00"
"ATRAM Global Bond Income Feeder Fund - PHP   ATRGBIP https://storage.investa.ph/files/Fund/49/DP/49_1686041630.png","99.671033","0.95%","1.50%","5.93%","13.63%","-1.50%","UITF","Aggressive","Php 1,000.00"
